Filename,Duration,File Size,Creation Date,Original Path
Junky-Symphony.mp3,2:55,4.02 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junky-Symphony.mp3
Back-Alley-Dumpster-Fire.mp3,0:59,931.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Back-Alley-Dumpster-Fire.mp3
The Sound of Ancestors2.mp3,2:11,3.01 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The Sound of Ancestors2.mp3
Junky Symphony2.mp3,2:12,3.02 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junky Symphony2.mp3
Marching-Shadows.mp3,3:10,4.37 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Marching-Shadows.mp3
Junky-Symphony2.mp3,2:12,3.02 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junky-Symphony2.mp3
Back Alley Dumpster Fire.mp3,0:59,931.17 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Back Alley Dumpster Fire.mp3
Junkyard-Moon-Symphony4.mp3,2:59,4.11 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junkyard-Moon-Symphony4.mp3
Junkyard-Dream-Symphony5.mp3,2:11,3.01 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junkyard-Dream-Symphony5.mp3
Shadow-Messages.mp3,2:26,3.36 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Shadow-Messages.mp3
Echoes of Yesterday.mp3,3:30,4.82 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Echoes of Yesterday.mp3
Enchanted Woods.mp3,3:31,4.83 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Enchanted Woods.mp3
The-Alley-King.mp3,2:39,3.65 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The-Alley-King.mp3
Dumpster-Fire-Happy-Hour-backalley-live-punk-ROCK.mp3,2:34,5.88 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Dumpster-Fire-Happy-Hour-backalley-live-punk-ROCK.mp3
Concrete Jungle Rumble_tempTEMP_MPY_wvf_snd.mp3,0:00,768.00 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Concrete Jungle Rumble_tempTEMP_MPY_wvf_snd.mp3
9.mp3,0:53,209.44 KB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/9.mp3
Whisper of the Willow.mp3,3:59,5.48 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Whisper of the Willow.mp3
Moonlit-Reverie.mp3,3:40,5.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonlit-Reverie.mp3
Love in Imperfection.mp3,3:40,5.05 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Love in Imperfection.mp3
Beautiful Mess.mp3,3:15,4.47 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Beautiful Mess.mp3
Moonly Alley Serenade.mp3,2:57,4.06 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly Alley Serenade.mp3
Junkyard Kings_tempTEMP_MPY_wvf_snd.mp3,0:00,3.00 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Junkyard Kings_tempTEMP_MPY_wvf_snd.mp3
The Sound of Ancestors.mp3,3:04,4.22 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/The Sound of Ancestors.mp3
Moonly Alley (1).mp3,1:29,2.05 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonly Alley (1).mp3
in-This-aLLey-Where-i-HiDe2.mp3,2:39,3.66 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/in-This-aLLey-Where-i-HiDe2.mp3
Moonlit Reverie.mp3,3:40,5.04 MB,10-07-24,/Volumes/Pics/2025/2025-mp3/trashy/Moonlit Reverie.mp3
Project 2025's Four Pillars_ A Blueprint for Conservative Leadership.mp3,0:58,1.35 MB,09-14-24,/Volumes/Pics/Suno-Merge/mp3/Project 2025's Four Pillars_ A Blueprint for Conservative Leadership.mp3
whisper-of-the-willow.mp3,3:59,5.48 MB,10-06-24,/Volumes/Pics/Suno-Merge/mp3/whisper-of-the-willow.mp3
Brave.mp3,3:51,7.14 MB,09-14-24,/Volumes/Pics/Suno-Merge/mp3/Brave.mp3
junkyard-symphony-scraps.mp3,3:11,4.39 MB,10-06-24,/Volumes/Pics/Suno-Merge/mp3/junkyard-symphony-scraps.mp3
blues-in-the-alley-haunted-strings-nocturnal-notes.mp3,4:00,5.49 MB,10-06-24,/Volumes/Pics/Suno-Merge/mp3/blues-in-the-alley-haunted-strings-nocturnal-notes.mp3
The Raccoon's Revelry.mp3,2:06,2.89 MB,10-06-24,/Volumes/Pics/Suno-Merge/mp3/The Raccoon's Revelry.mp3
Moonly Alley by _avatararts _ Suno.mp3,0:30,1.15 MB,09-14-24,/Volumes/Pics/Suno-Merge/mp3/Moonly Alley by _avatararts _ Suno.mp3
